"model"	"sno"	"Year"	"Title"	"clean Title + Ontology Terms"	"uniq_project_title"	"ProjectID3"	"uniqProjectID"	"multischool_project"	"ProjectApproach"	"OnotologyTerms"	"Field"	"AppliedTo"	"AppliedValue"	"ProjectField"	"Cancer"	"AI_ML"	"InfectiousDiseases_Covid"	"Water"	"energy"	"medical"	"pollution"	"Category"	"SchoolName"	"school_id"	"school_region"	"zip"	"gender"	"grade"	"award"	"awardvalue"	"Ethnicity"	"Race"	"PerfBySchoolByYr"	"RacePercBySchoolAllYears"	"TotalStudentParticipatedAllYears"	"StudentsByYearBySchool"	"AllGender"	"AllGrade"	"AllEthnicity"	"GenderComp"	"AvgGrade"	"EthnicityComp"	"team_size"	"award_value"	"Total_awardValue"	"TotalProjectFromSchoolAllYears"	"NumberOfYearsParticipated"	"2019Score"	"2019SchoolRank"	"2018Rank"	"isCharter"	"isTitle1"	"NumStudents"	"NumTeachers"	"SpendingPerPupil"	"White%"	"Black%"	"Hispanic%"	"Asian%"	"American_Indian%"	"Pacific_Islander%"	"Two_or_more_races%"	"WhitePercInMSEF"	"BlackPercInMSEF"	"HispanicPercInMSEF"	"AsianPercInMSEF"	"SchoolDiversity"	"MSEFDiversity"	"DeviationEthnicityRep"	"clustord"	"x"	"y"	"cluster"
"x1"	1	2014	"Using Asclepias syriaca to Prevent Small Scale Oil Spills"	"using asclepias syriaca to prevent small scale oil spills chemical, pollute,organism,plant,organism,plant,pollute ecology environment environment"	1	2119	1	NA	"a"	"chemical, pollute,organism,plant,organism,plant,pollute"	"ecology"	"environment"	5	"environment"	0	0	0	NA	NA	NA	NA	"Engineering"	"Massachusetts Academy of Math & Science"	87	"Worcester Region II Science and Engineering Fair"	"x01605"	"F"	"11th"	"First"	1	"Caucasian"	"White"	9.45833333333333	0.268292682926829	123	13	"F"	"11"	"Caucasian"	"AllF"	11	"AllWhite"	1	1	57.5833333333333	123	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.268292682926829	0	0.00813008130081301	0.414634146341463	NA	-0.328820288417754	NA	178	71.4033291434997	-97.0873068456248	"1"
"x10"	10	2014	"Triclosan: The Snail's Achilles' Heel"	"triclosan the snails achilles heel chemical,organism,slug, mollusc ecology biology"	1	2088	1	NA	"a"	"chemical,organism,slug, mollusc"	"ecology"	NA	2	"biology"	0	0	0	NA	NA	NA	NA	"Biology"	"Taunton High School"	149	"Rensselaer - BCC Region III Science Fair"	"x02780"	"F"	"12th"	"First"	1	"Caucasian"	"White"	2	0.565789473684211	76	12	"F"	"12"	"Caucasian"	"AllF"	12	"AllWhite"	1	1	8.64166666666667	76	8	28.3	273	275	"N"	"N"	2624	157	13871	0.627	0.175	0.136	0.019	0.002	0.002	0.039	0.565789473684211	0.0263157894736842	0.0263157894736842	0.197368421052632	-0.475868343765897	-0.362181713986786	0.0696996426592798	545	20.5270791598444	-40.5796079883512	"2"
"x1000"	1000	2016	"Portable Fruit Juicer"	"portable fruit juicer food, nutrition,food,nutrition mechanical household Engineering"	1	1438	1	NA	"d"	"food, nutrition,food,nutrition"	"mechanical"	"household"	1	"Engineering"	0	0	0	NA	NA	NA	NA	"Engineering"	"West Boylston High School"	163	"Worcester Region II Science and Engineering Fair"	"x01583"	"F"	"10th"	"noAward"	0	"Caucasian"	"White"	0	0.625	8	3	"F"	"10"	"Caucasian"	"AllF"	10	"AllWhite"	1	20	0.4	8	4	64.9	141	193	"N"	"N"	486	48	16881	0.817	0.027	0.107	0.012	0.002	0	0.035	0.625	0	0	0.25	-0.297329077472247	-0.278089986991944	0.105686	1556	9.68815283042462	32.2104924311083	"3"
"x1001"	1001	2016	"Possibilities of Algae Biofuel"	"possibilities of algae bio fuel energy,organism,plant, microbiology agriculture energy environment"	1	1439	1	NA	"a"	"energy,organism,plant, microbiology"	"agriculture"	"energy"	6	"environment"	0	0	0	NA	NA	NA	NA	"Biochemistry"	"Taunton High School"	149	"Rensselaer - BCC Region III Science Fair"	"x02780"	"M"	"10th"	"noAward"	0	"Caucasian"	"White"	0.125	0.565789473684211	76	10	"M"	"10"	"Caucasian"	"AllM"	10	"AllWhite"	1	20	8.64166666666667	76	8	28.3	273	275	"N"	"N"	2624	157	13871	0.627	0.175	0.136	0.019	0.002	0.002	0.039	0.565789473684211	0.0263157894736842	0.0263157894736842	0.197368421052632	-0.475868343765897	-0.362181713986786	0.0696996426592798	1134	31.6258138535957	-21.3812860446401	"4"
"x1002"	1002	2016	"Practical Use of Renewable Energy"	"practical use of renewable energy energy,energy Mechanical energy environment"	1	1447	1	NA	"a"	"energy,energy"	"Mechanical"	"energy"	3	"environment"	0	0	0	NA	NA	NA	NA	"Engineering"	"Lexington High School"	74	"Northeastern Massachusetts Region IV Science Fair"	"x02420"	"F"	"10th"	"noAward"	0	"Asian"	"Asian"	4.20833333333333	0.590643274853801	171	24	"F"	"10"	"Asian"	"AllF"	10	"AllAsian"	1	20	49.0583333333333	171	8	91.9	2	13	"N"	"N"	2263	177	16565	0.492	0.037	0.037	0.38	0.001	0	0.053	0.233918128654971	0.00584795321637427	0	0.590643274853801	-0.487801854054271	-0.295711048365617	0.113316291576895	161	16.3451422173146	23.8449410907259	"1"
"x1003"	1003	2016	"Preventing Cervical Spine Injuries in Contact Sports Collisions"	"preventing cervical spine injuries in contact sports collisions disease, medical,organ,organ,sports mechanical sports Engineering"	1	1462	1	NA	"m"	"disease, medical,organ,organ,sports"	"mechanical"	"sports"	3	"Engineering"	0	0	0	NA	NA	NA	NA	"Engineering"	"Marlborough High School"	83	"Worcester Region II Science and Engineering Fair"	"x01752"	"M"	"11th"	"noAward"	0	"Caucasian"	"White"	0	1	28	3	"F_M"	"11_11"	"Caucasian_Caucasian"	"Mix"	11	"AllWhite"	2	20	3.33333333333333	28	6	34	262	265	"N"	"N"	1075	100	18092	0.414	0.036	0.508	0.018	0.001	0	0.023	1	0	0	0	-0.43204155758783	0	0.60308	892	-1.29016153869456	42.5559936531516	"4"
"x1005"	1005	2016	"Preventing Glucocorticoid Apoptosis in Osteoblasts with Sulforaphane"	"preventing glucocorticoid apoptosis in osteoblasts with sulforaphane chemical,chemical, organic, hormone, steroid,medical,organ, bone biochem cellbio biology"	1	1464	1	NA	"m"	"chemical,chemical, organic, hormone, steroid,medical,organ, bone"	"biochem"	"cellbio"	4	"biology"	0	0	0	NA	NA	NA	NA	"Biochemistry"	"Bancroft School"	11	"Worcester Region II Science and Engineering Fair"	"x01605"	"M"	"11th"	"noAward"	0	"Caucasian"	"White"	4.5	0.529411764705882	51	9	"M"	"11"	"Caucasian"	"AllM"	11	"AllWhite"	1	20	23.0416666666667	51	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.529411764705882	0.0196078431372549	0.0588235294117647	0.176470588235294	NA	-0.385028216911998	NA	1295	-13.2549328052924	-8.82709239643336	"3"
"x1006"	1006	2016	"Project Somos Immersion"	"project somos immersion Mechanical Engineering"	1	1472	1	NA	"a"	NA	"Mechanical"	NA	3	"Engineering"	0	0	0	NA	NA	NA	NA	"Engineering"	"Foxborough Regional Charter School"	56	"Rensselaer - BCC Region III Science Fair"	"x02035"	"F"	"12th"	"noAward"	0	"Latino"	"Hispanic"	0.125	0.0333333333333333	30	7	"F"	"12"	"Latino"	"AllF"	12	"AllLatino"	1	20	2.08333333333333	30	8	65.7	138	142	"Y"	"Y"	1630	130	0	0.328	0.467	0.048	0.098	0.003	0.002	0.053	0.4	0.133333333333333	0.0333333333333333	0.3	-0.555962616381974	-0.481951837329132	0.157536555555556	742	9.38791913413771	33.9161677406163	"4"
"x1007"	1007	2016	"Protective Pajamas: How Water Temperature Affects Flammability"	"protective pajamas how water temperature affects flammability device, material,fire,water chemistry safety Chemistry"	1	1475	1	NA	"d"	"device, material,fire,water"	"chemistry"	"safety"	2	"Chemistry"	0	0	0	NA	NA	NA	NA	"Chemistry"	"Westfield High School"	166	"Western Massachusetts Region I Science Fair"	"x01085"	"F"	"10th"	"noAward"	0	"Caucasian"	"White"	0.583333333333333	0.816901408450704	142	20	"F"	"10"	"Caucasian"	"AllF"	10	"AllWhite"	1	20	16.3583333333334	142	8	43.6	228	241	"N"	"Y"	1228	100	14822	0.779	0.024	0.135	0.037	0.002	0	0.02	0.816901408450704	0.00704225352112676	0.0211267605633803	0.0422535211267606	-0.333126068230082	-0.180358685742829	0.0147187960722079	515	17.2036311742162	15.4648294894991	"2"
"x1008"	1008	2016	"Protein Packed Power"	"protein packed power protein, chemical biochem nutrition biology"	1	1476	1	NA	"a"	"protein, chemical"	"biochem"	"nutrition"	5	"biology"	0	0	0	NA	NA	NA	NA	"Biochemistry"	"East Boston High School"	49	"Boston Public Schools Region VI Science Fair"	"x02128"	"M"	"10th"	"noAward"	0	"Latino"	"Hispanic"	0.125	0.6	50	10	"F_F_M"	"10_10_11"	"Latino_Latino_SouthAsian"	"Mix"	10.3333333333333	"2"	3	20	2.575	50	6	14.6	302	304	"N"	"Y"	1189	96	23582	0.111	0.058	0.793	0.019	0.003	0	0.016	0.12	0.02	0.6	0.24	-0.326573086280413	-0.426336202320034	0.087615	332	0.642540506162921	-6.58501588843982	"2"
