synonymizedTerm	KeywordClass	Freq	Weight	AllIds	originalTerms
action	0	35	0.333333333	 23| 1134| 2704| 2775| 2780| 1820| 1917| 1918| 2250| 1689| 543| 46| 2287| 414| 2293| 2760| 2483| 2769| 2000| 2006| 957| 2402| 677| 678| 1812| 2677| 2078| 2079| 1643| 2481| 2084| 1650| 1651| 2446| 2113	active|actively|activity|activation|activated|actuator|acting|actuated|action|acitivity
biology	0	1011	1	 23| 1134| 2792| 413| 544| 1225| 1484| 556| 557| 2686| 1827| 1828| 586| 599| 107| 248| 2526| 2527| 2699| 2379| 2485| 64| 138| 1606| 1870| 1872| 30| 2924| 2922| 2923| 2733| 2763| 1644| 2498| 2455| 1130| 225| 2244| 2245| 850| 1818| 1847| 243| 1461| 1819| 2492| 2247| 482| 813| 2797| 789| 442| 2248| 1801| 741| 1910| 742| 1912| 2707| 2786| 55| 389| 853| 1210| 1688| 812| 21| 22| 2250| 1689| 2251| 2252| 409| 1919| 529| 531| 1472| 2260| 1457| 1213| 1735| 1736| 1172| 1691| 2731| 1111| 1922| 354| 355| 366| 298| 1923| 2261| 1924| 1214| 375| 2709| 2770| 39| 40| 1173| 2735| 2796| 1475| 858| 859| 2757| 2263| 488| 540| 2265| 1160| 1161| 744| 745| 1216| 1217| 1499| 1500| 1737| 1738| 2803| 1218| 548| 549| 253| 359| 867| 551| 1805| 1712| 1713| 2807| 1479| 1692| 1813| 2516| 2808| 2810| 1480| 2812| 1224| 2214| 2540| 1228| 1229| 1137| 262| 558| 559| 2802| 2545| 18| 46| 2215| 1139| 1140| 1485| 2815| 2816| 11| 2216| 2520| 1851| 1234| 2282| 449| 450| 1947| 2288| 1488| 2513| 889| 890| 2474| 1714| 2187| 304| 7| 1242| 1243| 1244| 452| 453| 1950| 1114| 1248| 1181| 1142| 1143| 1144| 1693| 1694| 1821| 1822| 1823| 1182| 2732| 110| 2298| 994| 492| 2729| 2730| 173| 2217| 1955| 1956| 1957| 1251| 1824| 1145| 2706| 75| 2746| 1116| 1716| 1501| 511| 236| 2502| 245| 219| 322| 2715| 899| 570| 224| 1254| 1255| 1256| 900| 1502| 1041| 493| 1257| 1258| 1966| 1967| 902| 2219| 968| 1259| 151| 1968| 2830| 904| 1505| 1506| 2848| 1260| 1261| 572| 2538| 1969| 1507| 1508| 85| 2496| 16| 2486| 907| 416| 1975| 1976| 1977| 380| 2515| 1513| 417| 2825| 2191| 2192| 134| 316| 2534| 2535| 383| 50| 51| 574| 2850| 1745| 770| 157| 418| 2551| 1146| 1717| 1099| 576| 1718| 521| 819| 2164| 750| 2316| 2317| 794| 1100| 2318| 2319| 47| 48| 1516| 1979| 1719| 1980| 184| 185| 1825| 73| 72| 912| 2727| 1184| 1147| 1148| 1856| 2553| 2194| 1780| 1185| 1982| 1983| 1517| 299| 300| 1518| 1519| 2898| 1520| 52| 53| 2324| 1826| 915| 916| 384| 752| 2329| 1117| 297| 166| 282| 1271| 2125| 2837| 1273| 585| 133| 8| 14| 1886| 1274| 2338| 2337| 1524| 1525| 1526| 1276| 2339| 1989| 2506| 495| 2341| 2504| 2844| 1783| 588| 589| 246| 353| 1993| 921| 922| 132| 1190| 1191| 1729| 1730| 925| 1280| 596| 2347| 2348| 926| 927| 928| 1747| 1748| 1749| 931| 456| 598| 1750| 1829| 933| 934| 935| 2357| 1857| 821| 200| 294| 2000| 2195| 939| 940| 421| 2360| 2361| 244| 1551| 1552| 601| 602| 1293| 2552| 942| 2222| 945| 946| 944| 947| 948| 949| 950| 1297| 1298| 1751| 181| 1299| 1300| 951| 952| 2011| 1303| 1304| 1305| 953| 1560| 955| 956| 2548| 957| 961| 423| 962| 2865| 119| 1562| 1308| 1859| 2014| 1696| 2517| 1831| 1152| 822| 2549| 1697| 1458| 1459| 2885| 1309| 1310| 2690| 2500| 2501| 2365| 2366| 2145| 1569| 34| 1313| 2508| 2018| 1102| 1698| 797| 2224| 2166| 2521| 2522| 2523| 1317| 1318| 1319| 2225| 56| 57| 426| 427| 2525| 1860| 88| 241| 2370| 20| 608| 2371| 1861| 154| 155| 2021| 1723| 2867| 2372| 1321| 2373| 2022| 2374| 2375| 279| 280| 1862| 1863| 2377| 2378| 1724| 424| 425| 387| 2505| 114| 115| 204| 612| 1587| 1588| 233| 977| 1889| 2229| 2880| 2882| 2883| 1591| 2385| 2386| 1333| 2389| 1832| 757| 980| 981| 613| 1725| 1753| 199| 2168| 616| 617| 2030| 1336| 1337| 139| 1598| 2531| 2891| 96| 1338| 131| 800| 1600| 2503| 1601| 2529| 1104| 390| 171| 391| 626| 627| 1604| 1605| 2895| 1833| 1834| 758| 428| 1701| 1702| 631| 632| 2524| 1121| 1122| 997| 998| 1347| 1348| 1349| 2897| 639| 640| 2036| 2037| 2038| 641| 642| 1350| 2039| 2040| 643| 503| 504| 2717| 2781| 1610| 644| 2544| 179| 180| 285| 320| 999| 283| 646| 647| 182| 49| 2405| 1353| 2546| 2407| 2408| 1156| 1005| 393| 464| 1008| 1009| 1010| 653| 1198| 129| 130| 2905| 431| 2081| 2418| 273| 1362| 169| 150| 1837| 2419| 832| 2420| 2049| 2912| 394| 2421| 69| 1371| 1372| 2913| 2055| 2056| 2698| 191| 662| 663| 160| 669| 435| 71| 89| 802| 2061| 2062| 2063| 1383| 2530| 332| 333| 2430| 1633| 2431| 2066| 677| 678| 1873| 469| 470| 2739| 1386| 1387| 127| 2853| 2071| 2231| 2232| 2550| 2233| 2072| 837| 2203| 681| 510| 2| 682| 1637| 1388| 2487| 1389| 2434| 688| 1391| 760| 1392| 2507| 2560| 690| 691| 512| 513| 514| 692| 693| 117| 118| 2175| 471| 472| 1393| 778| 2436| 1795| 1040| 2537| 2235| 1638| 70| 2687| 2694| 838| 2076| 761| 2659| 1640| 2077| 2437| 2541| 2438| 1124| 1125| 1042| 1043| 2078| 2079| 1643| 2852| 1165| 2536| 1796| 1397| 2204| 2205| 305| 306| 2728| 2862| 2236| 400| 2489| 2490| 694| 3| 1874| 1166| 1200| 436| 2710| 2737| 2082| 2083| 2441| 1044| 2084| 1798| 1647| 1648| 1814| 2237| 2085| 2442| 2086| 2917| 2542| 1649| 1407| 1404| 2088| 1708| 840| 2089| 1650| 1651| 1405| 338| 339| 340| 402| 2738| 1047| 2443| 2736| 2444| 1167| 2950| 230| 2488| 2493| 842| 1728| 843| 1409| 1410| 1408| 437| 438| 1841| 1875| 1652| 1653| 2518| 2519| 198| 697| 779| 1842| 2448| 232| 2090| 2091| 1126| 1127| 1654| 439| 1898| 152| 153| 1876| 1048| 265| 2886| 440| 698| 699| 700| 1415| 2451| 2452| 701| 702| 703| 1049| 1051| 2092| 2928| 404| 2093| 2094| 258| 259| 1052| 1169| 476| 2097| 2206| 1900| 2098| 2101| 329| 330| 1417| 1418| 1420| 2859| 2103| 2177| 1056| 1055| 2693| 2108| 2109| 705| 1421| 2110| 2111| 1422| 66| 2896| 1423| 41| 42| 2113| 710| 1062| 2543| 2477| 785| 1429| 711| 2454| 1815| 2692| 477| 2114| 2494| 2495| 1761| 712| 1660| 1661| 1662| 2528| 2116| 2841| 2842| 713| 1430| 1063| 1064| 348| 2456| 715| 716| 2934| 350| 208| 2207| 1106| 2937| 2547| 1432| 515| 516| 517| 2118| 2119| 10| 2939| 1901| 2940| 1131| 1107| 2572| 722| 207| 2871| 2120| 2121| 1108| 1731| 2914| 2533| 331| 1081| 2158| 2123| 79| 80| 1442| 1443| 726| 1088| 1676| 1677| 2817| 727| 231| 518| 519| 2239| 1846| 1444| 2469| 286| 2902| 2559| 1679| 260| 2499| 1680| 2509| 1682| 733| 2129| 1450| 734| 2240| 735| 2131| 2132| 2948| 1452| 1453| 764| 121| 122| 1684| 201| 202| 1454| 2470| 2471| 738	biology|biologically
dna	0	21	4	 23| 2699| 1819| 1224| 2513| 2732| 570| 224| 1254| 1255| 1256| 1505| 1506| 2727| 1993| 2865| 1789| 2853| 1108| 1731| 1450	dna
elements	0	2	1	 23| 2525	elements
funda	0	24	2.5	 23| 2256| 850| 1818| 159| 1908| 813| 2748| 442| 742| 1911| 1686| 1687| 324| 325| 189| 563| 1944| 2732| 1954| 173| 1068| 1069| 1880	funda
gene	0	376	2.5	 23| 23| 1827| 1827| 1828| 1828| 2526| 2526| 2526| 2526| 2527| 2527| 2527| 2527| 2699| 2699| 1819| 2492| 2492| 2492| 2492| 813| 813| 813| 2713| 2713| 2713| 2787| 2787| 2787| 789| 442| 741| 741| 742| 742| 742| 742| 742| 55| 55| 55| 55| 389| 389| 389| 1210| 1210| 1210| 1688| 1688| 21| 22| 1457| 1457| 1457| 1457| 2709| 2770| 1173| 1173| 1475| 1475| 1475| 1215| 867| 2808| 2808| 1224| 1137| 2545| 2545| 18| 18| 18| 18| 46| 46| 46| 1234| 1234| 1234| 146| 146| 147| 147| 2288| 2288| 2288| 1488| 1488| 1488| 2513| 2513| 1242| 1242| 1243| 1243| 1244| 1244| 1182| 1182| 1182| 2732| 2732| 173| 173| 2218| 219| 219| 219| 219| 322| 322| 322| 322| 570| 224| 1254| 1255| 1256| 1256| 1505| 1505| 1506| 1506| 1969| 1969| 1507| 1507| 1507| 1508| 1508| 1508| 85| 85| 85| 794| 794| 794| 1825| 1825| 2727| 2329| 2329| 2329| 133| 8| 14| 14| 1274| 1274| 1276| 1276| 1276| 495| 495| 2844| 1783| 1783| 1993| 1993| 132| 132| 596| 926| 926| 927| 927| 928| 928| 931| 931| 931| 931| 456| 456| 456| 456| 598| 598| 2855| 2855| 423| 2865| 1308| 1859| 2014| 2014| 1831| 1831| 1152| 1152| 1152| 1152| 1697| 1697| 1697| 755| 1569| 1313| 1313| 1313| 2508| 2508| 2018| 2018| 2521| 2521| 2521| 2522| 2522| 2522| 2523| 2523| 2523| 2525| 2525| 1860| 1860| 1860| 20| 608| 608| 608| 2020| 2374| 2374| 2374| 2375| 2375| 2375| 2695| 2695| 2695| 2869| 2869| 387| 776| 776| 1333| 1333| 757| 757| 500| 500| 500| 1725| 1725| 1789| 1789| 96| 96| 800| 1600| 1600| 1600| 1600| 1601| 1601| 1601| 1121| 1121| 1121| 1122| 1122| 1122| 997| 998| 643| 643| 503| 503| 504| 504| 2405| 653| 653| 1198| 431| 431| 1622| 1837| 2419| 2419| 2421| 2913| 2698| 2698| 2698| 71| 71| 89| 89| 2530| 2530| 677| 678| 127| 127| 127| 2853| 2853| 2231| 2231| 2232| 2232| 837| 1757| 1757| 1757| 688| 688| 688| 2536| 2536| 2442| 2442| 1405| 1405| 2493| 2493| 2493| 1876| 1900| 1900| 2099| 2099| 2100| 2100| 329| 329| 330| 330| 705| 41| 41| 42| 42| 477| 477| 1204| 1204| 1204| 1106| 1901| 1131| 1131| 1131| 1107| 1107| 1107| 1108| 1108| 1108| 1731| 1731| 1731| 2914| 2914| 2914| 2592| 2158| 2158| 1450| 1450| 1452| 1452| 1453| 1453| 121| 121| 121| 122| 122| 122	genetic|genetics|genes|genomic|genotypes|genetically
identify	0	29	0.166666667	 23| 2526| 2527| 2597| 742| 867| 1485| 1235| 2291| 1781| 1782| 961| 423| 962| 2865| 1888| 119| 2703| 1562| 1308| 1309| 1310| 2525| 2021| 5| 1616| 405| 2759| 721	identifying|identification|identity
ii	0	4	0.4	 23| 1034| 1035| 694	ii
method	0	320	0.166666667	 23| 1134| 1177| 1487| 2699| 2612| 243| 1461| 1461| 523| 524| 740| 1907| 1852| 2480| 2605| 1819| 1819| 2492| 2492| 525| 525| 482| 1908| 2182| 1802| 1802| 1733| 1733| 813| 813| 2797| 2797| 2713| 2713| 2787| 2787| 766| 1686| 1686| 1686| 267| 267| 268| 268| 1688| 1688| 409| 409| 1466| 1467| 1468| 2740| 2741| 2742| 2183| 2184| 2700| 2701| 1778| 1778| 1779| 1779| 1470| 1470| 1471| 1471| 2589| 2260| 1921| 2602| 1803| 1475| 1925| 858| 2264| 2185| 2185| 1160| 1160| 1161| 1161| 744| 745| 2714| 2267| 2268| 866| 1479| 2596| 1772| 1772| 2161| 2161| 1229| 2186| 2520| 1774| 1775| 2280| 2281| 1851| 1700| 1234| 54| 2834| 2776| 2282| 2282| 887| 888| 2284| 1777| 2291| 371| 2822| 1714| 290| 32| 32| 2576| 2613| 2614| 1496| 1496| 2600| 2760| 1951| 791| 2297| 1807| 1142| 1143| 1144| 1693| 1694| 1821| 1822| 1823| 2832| 2832| 2299| 2299| 2300| 2300| 2773| 2773| 2301| 2302| 1498| 1498| 2593| 2594| 2595| 1824| 2218| 35| 910| 910| 911| 911| 72| 72| 1981| 581| 2599| 455| 455| 1523| 919| 2769| 2769| 2587| 2587| 2606| 2606| 1994| 2344| 596| 598| 457| 457| 2010| 2570| 1306| 1307| 1888| 2703| 2703| 1565| 34| 34| 797| 1840| 2166| 2166| 2510| 2510| 2373| 2373| 2023| 2869| 2869| 1322| 2718| 2784| 2577| 1578| 1579| 1685| 2591| 2196| 1889| 1889| 2229| 2229| 2387| 2388| 1890| 2884| 757| 757| 2392| 2168| 2168| 2531| 2531| 1789| 800| 800| 1197| 390| 632| 2573| 633| 2717| 2717| 2781| 2781| 320| 49| 2042| 1617| 1810| 1618| 2734| 650| 650| 651| 651| 1198| 2582| 1621| 1621| 1837| 796| 1363| 1158| 1158| 1838| 2053| 2635| 188| 666| 1377| 467| 467| 468| 468| 2428| 2429| 2607| 2608| 674| 1031| 1634| 2575| 2071| 2071| 1391| 2484| 2507| 471| 471| 472| 472| 1201| 2086| 2086| 2098| 2098| 2099| 2099| 2100| 2100| 1419| 2584| 2585| 2888| 1665| 1665| 1068| 1069| 2243| 2117| 721| 721| 1902| 2122| 2579| 2580| 1903| 1904| 1671| 1672| 2914| 2743| 2464| 1880| 1880	method|methods|approach|algorithm|algorithms|approaches|algorithmic|protocol|methodology
phase	0	2	10	 23| 1039	phase|phases
